Hsn Id,HSN Code,HSN Description,Updated By,Status
1,1,Live Animals; Animal Products,krishna,1
2,101,"LIVE HORSES, ASSES, MULES AND HINNIES - Horses:",krishna,1
3,1011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",krishna,1
4,1011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",krishna,1
5,1011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",krishna,1
6,10121,Horses,krishna,1
7,1012100,Pure-bred bredding animals,krishna,1
8,10129,other,krishna,1
9,1012910,Horses for polo,krishna,1
10,1012990,other,krishna,1
11,10130,Asses,krishna,1
12,1013010,Pure-bred breeding animals,krishna,1
13,1013020,livestock,krishna,1
14,1013090,other,krishna,1
15,10190,Other,krishna,1
16,1019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",krishna,1
17,1019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",krishna,1
18,1019030,Mules and hinnies as livestock,krishna,1
19,1019090,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER",krishna,1
20,102,LIVE BOVINE ANIMALS - Cattle:,krishna,1
21,1021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,krishna,1
22,1021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",krishna,1
23,1021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",krishna,1
24,1021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,krishna,1
25,10221,Pure-bred breeding animals,krishna,1
26,1022110,Bulls,krishna,1
27,1022120,Cows,krishna,1
28,10229,Other,krishna,1
29,1022910,Bulls,krishna,1
30,1022990,Other including calves,krishna,1
31,1023100,Pure-bred breeding animals,krishna,1
32,1023900,Others,krishna,1
33,10290,Other,krishna,1
34,1029010,LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT,krishna,1
35,1029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",krishna,1
36,1029090,LIVE BOVINE ANIMALS - OTHER - OTHER,krishna,1
37,103,LIVE SWINE,krishna,1
38,1031000,LIVE SWINE PURE-BRED BREEDING ANIMALS,krishna,1
39,1039100,LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.,krishna,1
40,1039200,LIVE SWINE- OTHER  WEIGHING 50KG. OR MORE,krishna,1
41,104,LIVE SHEEP AND GOATS,krishna,1
42,10410,Sheep,krishna,1
43,1041010,LIVE SHEEP AND GOATS - SHEEP : SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,krishna,1
44,1041090,LIVE SHEEP A ND GOATS SHEEP OTHER,krishna,1
45,1042000,LIVE SHEEP AND GOATS GOATS,krishna,1
46,105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS - Weighing not more than 185 g:",krishna,1
47,1051100,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : FOWLSOFTHESPECIESGALLUSDOMESTICUS",krishna,1
48,1051200,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : TURKEYS",krishna,1
49,1051300,Ducks,krishna,1
50,1051400,Geese,krishna,1
51,1051500,Guinea fowls,krishna,1
52,1051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",krishna,1
53,1059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",krishna,1
54,1059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",krishna,1
55,1059400,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS",krishna,1
56,1059900,"SPECIES GALLUSDOMESTICUS, DUCKS, GEESE,TURKEYS AND GUINEA FOWLS - OTHER - OTHER",krishna,1
57,106,OTHER LIVE ANIMALS - Mammals:,krishna,1
58,1061100,OTHER LIVE ANIMALS MAMMALS : PRIMATES,krishna,1
59,1061200,"OTHER LIVE ANIMALS MAMMALS WHALES,DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA); MANATEES AND DUGONGS(MAMMALS OF THE ORDER SIRENIA)",krishna,1
60,1061300,Camels and other camelids (Camelidae),krishna,1
61,1061400,Rabits and Hares,krishna,1
62,1061900,OTHER LIVE ANIMALS MAMMALS OTHER,krishna,1
63,1062000,OTHER LIVE ANIMALS REPTILES (INCLUDING SNAKES AND TURTLES),krishna,1
64,1063100,OTHER LIVE ANIMALS BIRDS : BIRDS OF PREY,krishna,1
65,1063200,"OTHER LIVE ANIMALS BIRDS PSITTACIFORMES(INCLUDING PARROTS, PARAKEETS,MACAWS AND COCKATOOS)",krishna,1
66,1063300,Ostriches; emus(Dromaius novaehollandiae),krishna,1
67,1063900,OTHER LIVE ANIMALS BIRDS OTHER,krishna,1
68,10641,Bees,krishna,1
69,1064110,Pureline stock,krishna,1
70,1064190,other,krishna,1
71,10649,Other,krishna,1
72,1064910,Pureline Stock,krishna,1
73,1064990,Other,krishna,1
74,10690,Other,krishna,1
75,1069000,Other,krishna,1
76,1069010,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",krishna,1
77,1069020,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,krishna,1
78,1069090,OTHER LIVE ANIMALS - OTHER - OTHER,krishna,1
79,2,Meat and edible meat offal,krishna,1
80,201,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED",krishna,1
81,2011000,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED CARCASSES AND HALF CARCASSES",krishna,1
82,2012000,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED OTHER CUTS WITH BONE IN",krishna,1
83,2013000,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED  BONELESS",krishna,1
84,202,"MEAT OF BOVINE ANIMALS, FROZEN",krishna,1
85,2021000,"MEAT OF BOVINE ANIMALS, FROZEN CARCASSES AND HALF-CARCASSES",krishna,1
86,2022000,"MEAT OF BOVINE ANIMALS, FROZEN OTHER CUTS WITH BONE IN",krishna,1
87,2023000,"MEAT OF BOVINE ANIMALS, FROZEN BONELESS",krishna,1
88,203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN - Fresh or chilled:",krishna,1
89,2031100,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FRESH OR CHILLED : CARCASSES AND HALF-CARCASSES",krishna,1
90,2031200,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN HAMS, SHOULDERS AND CUTS THERE OF, WITH BONE IN",krishna,1
91,2031900,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN HAMS, SHOULDERS AND CUTS THERE OF, WITH BONE INOTHER",krishna,1
92,2032100,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FROZEN : CARCASSES AND HALF-CARCASSES",krishna,1
93,2032200,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FROZEN : HAMS, SHOULDERS AND CUTS THERE OF, WITH BONE IN",krishna,1
94,2032900,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FROZEN OTHER",krishna,1
95,204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",krishna,1
96,2041000,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN CARCASSES AND HALF CARCASSES OF LAMB, FRESH OR CHILLED",krishna,1
97,2042100,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN OTHER MEAT OF SHEEP, FRESH OR CHILLED : CARCASSES AND HALF CARCASSES",krishna,1
98,2042200,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN OTHERMEAT OF SHEEP, FRESH OR CHILLED : OTHER CUTS WITH BONE IN",krishna,1
99,2042300,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN OTHER MEAT OF SHEEP, FRESH OR CHILLED : BONELESS",krishna,1
100,2043000,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN CARCASSES AND HALFCARCASSES OF LAMB, FROZEN",krishna,1
101,2044100,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN OTHERMEAT OF SHEEP, FROZEN : CARCASSES AND HALF-CARCASSES",krishna,1
102,2044200,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN OTHER MEAT OF SHEEP, FROZEN : OTHER CUTS WITH BONE IN",krishna,1
103,2044300,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN OTHER MEAT OF SHEEP, FROZEN : BONELESS",krishna,1
104,2045000,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN MEAT OF GOATS",krishna,1
105,205,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",krishna,1
106,2050000,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",krishna,1
107,206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",krishna,1
108,2061000,"EDIBLE OFFAL OF BOVINEANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN OF BOVINE ANIMALS, FRESH OR CHILLED",krishna,1
